Guid,SBQQ__LookupField__c,SBQQ__MatchType__c,SBQQ__Operator__c,SBQQ__ParentRuleIsActive__c,SBQQ__PriceRule2__c,SBQQ__RuleLookupObject__c,SBQQ__RuleTargetsCalculator__c,SBQQ__TestedField__c,SBQQ__TestedObject__c,SBQQ__TestedValue__c
dc0300b3-d22e-4d8b-b511-5a0bdd06eab9,Product__c,Field Value,equals,false,ec1b0e8a-a3a7-442a-9735-8e5e7096e486,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
b1869fd9-080e-4830-be83-cb31bac2357c,Product__c,Field Value,equals,false,db6197ac-388a-4af7-92d0-c84458a2b0a3,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
65f2068e-e81d-40ed-939d-28ccf6c8891e,Product__c,Field Value,equals,false,6fe97c32-7928-4c45-ae8a-158c621d9b14,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
5c908c1f-9df6-4cc4-a4e1-4b86087a5d14,Threshold_Type__c,Static Value,equals,false,ec524a03-1e8a-4ee6-8247-591b7d5d6da0,Approval_Threshold__c,true,#N/A,#N/A,Discount
b5430788-768a-4348-9de4-d16890a4d367,Product__c,Field Value,equals,true,808b5fa3-de52-4491-863f-0275290e7330,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
47357f86-a8cd-4e02-a431-ca4f0a5ffd70,Lower_Bound_Percent__c,Field Value,greater or equals,false,27c8740f-f6b8-45bf-9340-44989be5c83f,Approval_Threshold__c,true,Discretionary_Discount_Decimal__c,Quote Line,#N/A
74d5a8b8-c9ef-47ce-bda6-f71626fdcde0,Product__c,Field Value,equals,false,887e7aef-a0d5-4616-a6a5-2fee3fbfd6d0,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
8975864f-b736-47dd-a4ab-c5e752b5cecf,Product__c,Field Value,equals,false,c71d095b-3473-4d5f-b3b0-62735f85ca51,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
6614c927-3ef2-4251-bc9b-6f06be4ac7f3,Product__c,Field Value,equals,false,3413fe6b-36a1-461d-8c43-bf305fe68d3c,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
2ab1a1e7-710f-422d-9446-56495e144cbd,Product__c,Field Value,equals,false,da447496-4e6f-4a7d-8a15-72732109a2a1,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
